Indice;Algoritmo;D;Tamanho;Tipo;Tempo_ms;Memoria_B
16;D-Heap-Max;3;100;aleatorio;0.0248;560
17;D-Heap-Max;3;100;aleatorio;0.0248;560
18;D-Heap-Max;3;100;aleatorio;0.0248;560
19;D-Heap-Max;3;100;aleatorio;0.0241;560
20;D-Heap-Max;3;100;aleatorio;0.0245;560
1;D-Heap-Max;4;100;aleatorio;0.027899;528
2;D-Heap-Max;4;100;aleatorio;0.026;528
3;D-Heap-Max;4;100;aleatorio;0.0251;528
4;D-Heap-Max;4;100;aleatorio;0.0248;528
5;D-Heap-Max;4;100;aleatorio;0.0246;528
6;D-Heap-Max;4;100;aleatorio;0.0243;528
7;D-Heap-Max;4;100;aleatorio;0.0244;528
8;D-Heap-Max;4;100;aleatorio;0.0248;528
9;D-Heap-Max;4;100;aleatorio;0.0229;528
10;D-Heap-Max;4;100;aleatorio;0.0236;528
11;D-Heap-Max;4;100;aleatorio;0.0238;528
12;D-Heap-Max;4;100;aleatorio;0.0243;528
13;D-Heap-Max;4;100;aleatorio;0.0243;528
14;D-Heap-Max;4;100;aleatorio;0.0243;528
15;D-Heap-Max;4;100;aleatorio;0.024;528
16;D-Heap-Max;4;100;aleatorio;0.022999;528
17;D-Heap-Max;4;100;aleatorio;0.0234;528
18;D-Heap-Max;4;100;aleatorio;0.0237;528
19;D-Heap-Max;4;100;aleatorio;0.0244;528
20;D-Heap-Max;4;100;aleatorio;0.0242;528
1;D-Heap-Max;8;100;aleatorio;0.033;496
2;D-Heap-Max;8;100;aleatorio;0.0306;496
3;D-Heap-Max;8;100;aleatorio;0.0495;496
4;D-Heap-Max;8;100;aleatorio;0.0289;496
5;D-Heap-Max;8;100;aleatorio;0.0285;496
6;D-Heap-Max;8;100;aleatorio;0.0287;496
7;D-Heap-Max;8;100;aleatorio;0.0288;496
8;D-Heap-Max;8;100;aleatorio;0.0286;496
9;D-Heap-Max;8;100;aleatorio;0.0287;496
10;D-Heap-Max;8;100;aleatorio;0.0289;496
11;D-Heap-Max;8;100;aleatorio;0.028699;496
12;D-Heap-Max;8;100;aleatorio;0.0288;496
13;D-Heap-Max;8;100;aleatorio;0.0286;496
14;D-Heap-Max;8;100;aleatorio;0.0286;496
15;D-Heap-Max;8;100;aleatorio;0.0287;496
16;D-Heap-Max;8;100;aleatorio;0.0286;496
17;D-Heap-Max;8;100;aleatorio;0.0289;496
18;D-Heap-Max;8;100;aleatorio;0.0288;496
19;D-Heap-Max;8;100;aleatorio;0.028799;496
20;D-Heap-Max;8;100;aleatorio;0.0284;496
1;D-Heap-Min;2;100;aleatorio;0.0319;624
2;D-Heap-Min;2;100;aleatorio;0.0311;624
3;D-Heap-Min;2;100;aleatorio;0.0304;624
4;D-Heap-Min;2;100;aleatorio;0.0299;624
5;D-Heap-Min;2;100;aleatorio;0.0293;624
6;D-Heap-Min;2;100;aleatorio;0.028999;624
7;D-Heap-Min;2;100;aleatorio;0.0294;624
8;D-Heap-Min;2;100;aleatorio;0.0292;624
