Indice;Algoritmo;Aridade_D;Tamanho;Tipo;Tempo_ms;Memoria_KB;Trocas
14;DHeapMax;3;100;ordenado;0;0;464
15;DHeapMax;3;100;ordenado;0;0;464
16;DHeapMax;3;100;ordenado;0;0;464
17;DHeapMax;3;100;ordenado;0;0;464
18;DHeapMax;3;100;ordenado;0;0;464
19;DHeapMax;3;100;ordenado;0;0;464
20;DHeapMax;3;100;ordenado;0;0;464
1;DHeapMax;4;100;ordenado;0;0;404
2;DHeapMax;4;100;ordenado;0;0;404
3;DHeapMax;4;100;ordenado;0;0;404
4;DHeapMax;4;100;ordenado;0;0;404
5;DHeapMax;4;100;ordenado;0;0;404
6;DHeapMax;4;100;ordenado;0;0;404
7;DHeapMax;4;100;ordenado;0;0;404
8;DHeapMax;4;100;ordenado;0;0;404
9;DHeapMax;4;100;ordenado;0;0;404
10;DHeapMax;4;100;ordenado;0;0;404
11;DHeapMax;4;100;ordenado;0;0;404
12;DHeapMax;4;100;ordenado;0;0;404
13;DHeapMax;4;100;ordenado;0;0;404
14;DHeapMax;4;100;ordenado;0;0;404
15;DHeapMax;4;100;ordenado;0;0;404
16;DHeapMax;4;100;ordenado;0;0;404
17;DHeapMax;4;100;ordenado;0;0;404
18;DHeapMax;4;100;ordenado;0;0;404
19;DHeapMax;4;100;ordenado;0;0;404
20;DHeapMax;4;100;ordenado;0;0;404
1;DHeapMax;8;100;ordenado;0;0;320
2;DHeapMax;8;100;ordenado;0;0;320
3;DHeapMax;8;100;ordenado;0;0;320
4;DHeapMax;8;100;ordenado;0;0;320
5;DHeapMax;8;100;ordenado;0;0;320
6;DHeapMax;8;100;ordenado;0;0;320
7;DHeapMax;8;100;ordenado;0;0;320
8;DHeapMax;8;100;ordenado;0;0;320
9;DHeapMax;8;100;ordenado;0;0;320
10;DHeapMax;8;100;ordenado;0;0;320
11;DHeapMax;8;100;ordenado;0;0;320
12;DHeapMax;8;100;ordenado;0;0;320
13;DHeapMax;8;100;ordenado;0;0;320
14;DHeapMax;8;100;ordenado;0;0;320
15;DHeapMax;8;100;ordenado;0;0;320
16;DHeapMax;8;100;ordenado;0;0;320
17;DHeapMax;8;100;ordenado;0;0;320
18;DHeapMax;8;100;ordenado;0;0;320
19;DHeapMax;8;100;ordenado;0;0;320
20;DHeapMax;8;100;ordenado;0;0;320
1;DHeapMin;2;100;ordenado;0;0;516
2;DHeapMin;2;100;ordenado;0;0;516
3;DHeapMin;2;100;ordenado;0;0;516
4;DHeapMin;2;100;ordenado;0;0;516
5;DHeapMin;2;100;ordenado;0;0;516
6;DHeapMin;2;100;ordenado;0;0;516
7;DHeapMin;2;100;ordenado;0;0;516
8;DHeapMin;2;100;ordenado;0;0;516
9;DHeapMin;2;100;ordenado;0;0;516
10;DHeapMin;2;100;ordenado;0;0;516
11;DHeapMin;2;100;ordenado;0;0;516
12;DHeapMin;2;100;ordenado;0;0;516
13;DHeapMin;2;100;ordenado;0;0;516
14;DHeapMin;2;100;ordenado;0;0;516
15;DHeapMin;2;100;ordenado;0;0;516
16;DHeapMin;2;100;ordenado;0;0;516
17;DHeapMin;2;100;ordenado;0;0;516
18;DHeapMin;2;100;ordenado;0;0;516
19;DHeapMin;2;100;ordenado;0;0;516
20;DHeapMin;2;100;ordenado;0;0;516
1;DHeapMin;3;100;ordenado;0;0;382
2;DHeapMin;3;100;ordenado;0;0;382
3;DHeapMin;3;100;ordenado;0;0;382
4;DHeapMin;3;100;ordenado;0;0;382
5;DHeapMin;3;100;ordenado;0;0;382
6;DHeapMin;3;100;ordenado;0;0;382
7;DHeapMin;3;100;ordenado;0;0;382
8;DHeapMin;3;100;ordenado;0;0;382
9;DHeapMin;3;100;ordenado;0;0;382
10;DHeapMin;3;100;ordenado;0;0;382
11;DHeapMin;3;100;ordenado;0;0;382
12;DHeapMin;3;100;ordenado;0;0;382
13;DHeapMin;3;100;ordenado;0;0;382
14;DHeapMin;3;100;ordenado;0;0;382
15;DHeapMin;3;100;ordenado;0;0;382
16;DHeapMin;3;100;ordenado;0;0;382
17;DHeapMin;3;100;ordenado;0;0;382
18;DHeapMin;3;100;ordenado;0;0;382
19;DHeapMin;3;100;ordenado;0;0;382
20;DHeapMin;3;100;ordenado;0;0;382
1;DHeapMin;4;100;ordenado;0;0;332
2;DHeapMin;4;100;ordenado;0;0;332
3;DHeapMin;4;100;ordenado;0;0;332
4;DHeapMin;4;100;ordenado;0;0;332
5;DHeapMin;4;100;ordenado;0;0;332
6;DHeapMin;4;100;ordenado;0;0;332
7;DHeapMin;4;100;ordenado;0;0;332
8;DHeapMin;4;100;ordenado;0;0;332
9;DHeapMin;4;100;ordenado;0;0;332
10;DHeapMin;4;100;ordenado;0;0;332
11;DHeapMin;4;100;ordenado;0;0;332
12;DHeapMin;4;100;ordenado;0;0;332
13;DHeapMin;4;100;ordenado;0;0;332
14;DHeapMin;4;100;ordenado;0;0;332
15;DHeapMin;4;100;ordenado;0;0;332
16;DHeapMin;4;100;ordenado;0;0;332
17;DHeapMin;4;100;ordenado;0;0;332
18;DHeapMin;4;100;ordenado;0;0;332
19;DHeapMin;4;100;ordenado;0;0;332
20;DHeapMin;4;100;ordenado;0;0;332
1;DHeapMin;8;100;ordenado;0;0;248
2;DHeapMin;8;100;ordenado;0;0;248
3;DHeapMin;8;100;ordenado;0;0;248
4;DHeapMin;8;100;ordenado;0;0;248
5;DHeapMin;8;100;ordenado;0;0;248
6;DHeapMin;8;100;ordenado;0;0;248
7;DHeapMin;8;100;ordenado;0;0;248
8;DHeapMin;8;100;ordenado;0;0;248
9;DHeapMin;8;100;ordenado;0;0;248
10;DHeapMin;8;100;ordenado;0;0;248
11;DHeapMin;8;100;ordenado;0;0;248
12;DHeapMin;8;100;ordenado;0;0;248
13;DHeapMin;8;100;ordenado;0;0;248
14;DHeapMin;8;100;ordenado;0;0;248
15;DHeapMin;8;100;ordenado;0;0;248
16;DHeapMin;8;100;ordenado;0;0;248
17;DHeapMin;8;100;ordenado;0;0;248
18;DHeapMin;8;100;ordenado;0;0;248
19;DHeapMin;8;100;ordenado;0;0;248
20;DHeapMin;8;100;ordenado;0;0;248
1;SmoothSort;1;100;ordenado;0;0;0
2;SmoothSort;1;100;ordenado;0;0;0
3;SmoothSort;1;100;ordenado;0;0;0
4;SmoothSort;1;100;ordenado;0;0;0
5;SmoothSort;1;100;ordenado;0;0;0
6;SmoothSort;1;100;ordenado;0;0;0
7;SmoothSort;1;100;ordenado;0;0;0
8;SmoothSort;1;100;ordenado;0;0;0
9;SmoothSort;1;100;ordenado;0;0;0
10;SmoothSort;1;100;ordenado;0;0;0
11;SmoothSort;1;100;ordenado;0;0;0
12;SmoothSort;1;100;ordenado;0;0;0
13;SmoothSort;1;100;ordenado;0;0;0
14;SmoothSort;1;100;ordenado;0;0;0
15;SmoothSort;1;100;ordenado;0;0;0
16;SmoothSort;1;100;ordenado;0;0;0
17;SmoothSort;1;100;ordenado;0;0;0
18;SmoothSort;1;100;ordenado;0;0;0
19;SmoothSort;1;100;ordenado;0;0;0
20;SmoothSort;1;100;ordenado;0;0;0
1;DHeapMax;2;100;invertido;0;0;516
2;DHeapMax;2;100;invertido;0;0;516
3;DHeapMax;2;100;invertido;0;0;516
4;DHeapMax;2;100;invertido;0;0;516
5;DHeapMax;2;100;invertido;0;0;516
6;DHeapMax;2;100;invertido;0;0;516
7;DHeapMax;2;100;invertido;0;0;516
8;DHeapMax;2;100;invertido;0;0;516
9;DHeapMax;2;100;invertido;0;0;516
10;DHeapMax;2;100;invertido;0;0;516
11;DHeapMax;2;100;invertido;0;0;516
12;DHeapMax;2;100;invertido;0;0;516
13;DHeapMax;2;100;invertido;0;0;516
14;DHeapMax;2;100;invertido;0;0;516
15;DHeapMax;2;100;invertido;0;0;516
16;DHeapMax;2;100;invertido;0;0;516
17;DHeapMax;2;100;invertido;0;0;516
18;DHeapMax;2;100;invertido;0;0;516
19;DHeapMax;2;100;invertido;0;0;516
20;DHeapMax;2;100;invertido;0;0;516
1;DHeapMax;3;100;invertido;0;0;382
2;DHeapMax;3;100;invertido;0;0;382
3;DHeapMax;3;100;invertido;0;0;382
4;DHeapMax;3;100;invertido;0;0;382
5;DHeapMax;3;100;invertido;0;0;382
6;DHeapMax;3;100;invertido;0;0;382
7;DHeapMax;3;100;invertido;0;0;382
8;DHeapMax;3;100;invertido;0;0;382
9;DHeapMax;3;100;invertido;0;0;382
10;DHeapMax;3;100;invertido;0;0;382
11;DHeapMax;3;100;invertido;0;0;382
12;DHeapMax;3;100;invertido;0;0;382
13;DHeapMax;3;100;invertido;0;0;382
14;DHeapMax;3;100;invertido;0;0;382
15;DHeapMax;3;100;invertido;0;0;382
16;DHeapMax;3;100;invertido;0;0;382
17;DHeapMax;3;100;invertido;0;0;382
18;DHeapMax;3;100;invertido;0;0;382
19;DHeapMax;3;100;invertido;0;0;382
20;DHeapMax;3;100;invertido;0;0;382
1;DHeapMax;4;100;invertido;0;0;332
2;DHeapMax;4;100;invertido;0;0;332
3;DHeapMax;4;100;invertido;0;0;332
4;DHeapMax;4;100;invertido;0;0;332
5;DHeapMax;4;100;invertido;0;0;332
6;DHeapMax;4;100;invertido;0;0;332
7;DHeapMax;4;100;invertido;0;0;332
8;DHeapMax;4;100;invertido;0;0;332
9;DHeapMax;4;100;invertido;0;0;332
10;DHeapMax;4;100;invertido;0;0;332
11;DHeapMax;4;100;invertido;0;0;332
12;DHeapMax;4;100;invertido;0;0;332
13;DHeapMax;4;100;invertido;0;0;332
14;DHeapMax;4;100;invertido;0;0;332
15;DHeapMax;4;100;invertido;0;0;332
16;DHeapMax;4;100;invertido;0;0;332
